,coef,std err,t,P>|t|,[0.025,0.975]
sbi group,1097000000.0,27000000.0,40.662,0.0,1040000000.0,1150000000.0
preseed ventures,1085000000.0,40100000.0,27.025,0.0,1010000000.0,1160000000.0
alchemist accelerator,1078000000.0,46300000.0,23.271,0.0,987000000.0,1170000000.0
lenovo,744700000.0,24000000.0,30.996,0.0,698000000.0,792000000.0
warburg pincus,514000000.0,22000000.0,23.34,0.0,471000000.0,557000000.0
alibaba group,326600000.0,21200000.0,15.428,0.0,285000000.0,368000000.0
endeavor catalyst,193400000.0,33100000.0,5.847,0.0,129000000.0,258000000.0
patents_granted,162600000.0,26200000.0,6.208,0.0,111000000.0,214000000.0
goldman sachs,139600000.0,17200000.0,8.114,0.0,106000000.0,173000000.0
cmb international capital corporation,116500000.0,21900000.0,5.333,0.0,73700000.0,159000000.0
cicc,114100000.0,17200000.0,6.618,0.0,80300000.0,148000000.0
trademarks_registered,101400000.0,18400000.0,5.508,0.0,65300000.0,137000000.0
marc bell ventures,92520000.0,21300000.0,4.345,0.0,50800000.0,134000000.0
non-fungible chan,90340000.0,26600000.0,3.394,0.001,38100000.0,143000000.0
yunqi partners,87070000.0,14700000.0,5.911,0.0,58200000.0,116000000.0
fortune venture capital,61240000.0,12900000.0,4.75,0.0,36000000.0,86500000.0
yf capital,52230000.0,10600000.0,4.916,0.0,31400000.0,73100000.0
pc games,41320000.0,11900000.0,3.465,0.001,17900000.0,64700000.0
sierra ventures,38400000.0,13900000.0,2.754,0.006,11000000.0,65800000.0
bdmi,38400000.0,13900000.0,2.754,0.006,11000000.0,65800000.0
estimated_revenue_range,35050000.0,4080000.0,8.584,0.0,27000000.0,43100000.0
cloud data services,33080000.0,7070000.0,4.679,0.0,19200000.0,47000000.0
tencent,28010000.0,12000000.0,2.335,0.02,4480000.0,51500000.0
autonomous vehicles,27010000.0,8360000.0,3.23,0.001,10600000.0,43400000.0
trading platform,23640000.0,8120000.0,2.913,0.004,7720000.0,39600000.0
news,18550000.0,8260000.0,2.246,0.025,2350000.0,34800000.0
china,17780000.0,1630000.0,10.889,0.0,14600000.0,21000000.0
shenzhen capital group,17330000.0,7410000.0,2.338,0.02,2790000.0,31900000.0
logistics,15130000.0,5460000.0,2.771,0.006,4420000.0,25800000.0
online portals,14900000.0,6360000.0,2.344,0.019,2430000.0,27400000.0
marketing,9799000.0,3560000.0,2.755,0.006,2820000.0,16800000.0
credo ventures,2.763e-07,1.43e-08,19.346,0.0,2.48e-07,3.04e-07
tdf ventures,2.123e-07,6.37e-09,33.312,0.0,2e-07,2.25e-07
foundry group,-7.492e-08,7.46e-09,-10.036,0.0,-8.96e-08,-6.03e-08
const,-1.954e-07,9.77e-09,-19.999,0.0,-2.15e-07,-1.76e-07
kairos ventures,-3.542e-07,1.29e-08,-27.384,0.0,-3.8e-07,-3.29e-07
%female,-6736000.0,2610000.0,-2.583,0.01,-11900000.0,-1620000.0
consumer goods,-15920000.0,7350000.0,-2.167,0.03,-30300000.0,-1510000.0
video streaming,-26200000.0,8310000.0,-3.151,0.002,-42500000.0,-9890000.0
mobile devices,-45590000.0,10600000.0,-4.307,0.0,-66400000.0,-24800000.0
video advertising,-190300000.0,19700000.0,-9.665,0.0,-229000000.0,-152000000.0
morningside group,-454800000.0,25800000.0,-17.615,0.0,-505000000.0,-404000000.0
seed capital,-1085000000.0,37800000.0,-28.678,0.0,-1160000000.0,-1010000000.0
