,coef,std err,t,P>|t|,[0.025,0.975]
cmb international capital corporation,1346000000.0,22200000.0,60.5,0.0,1300000000.0,1390000000.0
sbi group,1091000000.0,17600000.0,61.981,0.0,1060000000.0,1130000000.0
alibaba group,208400000.0,12400000.0,16.814,0.0,184000000.0,233000000.0
yf capital,164800000.0,17500000.0,9.421,0.0,130000000.0,199000000.0
patents_granted,133700000.0,17300000.0,7.716,0.0,99700000.0,168000000.0
ant group,131700000.0,10200000.0,12.963,0.0,112000000.0,152000000.0
goldman sachs,110200000.0,12300000.0,8.928,0.0,86000000.0,134000000.0
estimated_revenue_range,42530000.0,2150000.0,19.783,0.0,38300000.0,46700000.0
versant ventures,41460000.0,10300000.0,4.035,0.0,21300000.0,61600000.0
harvest capital,39390000.0,17500000.0,2.253,0.024,5090000.0,73700000.0
monthly_visits,34080000.0,9710000.0,3.509,0.0,15000000.0,53100000.0
tencent,29150000.0,6220000.0,4.687,0.0,16900000.0,41300000.0
enterprise,27290000.0,7130000.0,3.829,0.0,13300000.0,41300000.0
agriculture,17360000.0,5340000.0,3.25,0.001,6880000.0,27800000.0
is_china,16610000.0,1230000.0,13.461,0.0,14200000.0,19000000.0
biotechnology,12620000.0,1750000.0,7.214,0.0,9190000.0,16100000.0
life science,-12950000.0,4760000.0,-2.722,0.007,-22300000.0,-3620000.0
cicc,-903500000.0,28800000.0,-31.322,0.0,-960000000.0,-847000000.0
